web-scraper-order,web-scraper-start-url,jobs_name,technos_name
"1627421786-57","https://coders.bluecoders.com/jobs","","Flask"
"1627421786-43","https://coders.bluecoders.com/jobs","","Cloud"
"1627421786-36","https://coders.bluecoders.com/jobs","","PostgreSQL"
"1627421786-9","https://coders.bluecoders.com/jobs","Senior Fullstack Dev React/Node",""
"1627421786-39","https://coders.bluecoders.com/jobs","","Scala"
"1627421786-29","https://coders.bluecoders.com/jobs","","Ruby on Rails"
"1627421786-31","https://coders.bluecoders.com/jobs","","HTML5"
"1627421786-61","https://coders.bluecoders.com/jobs","","Kubernetes"
"1627421786-11","https://coders.bluecoders.com/jobs","Ingénieur Devops H/F - CDI",""
"1627421786-16","https://coders.bluecoders.com/jobs","","Kubernetes"
"1627421786-8","https://coders.bluecoders.com/jobs","Dev Fullstack Django/React",""
"1627421786-55","https://coders.bluecoders.com/jobs","","Typescript"
"1627421786-28","https://coders.bluecoders.com/jobs","","Ruby"
"1627421786-40","https://coders.bluecoders.com/jobs","","PHP"
"1627421786-25","https://coders.bluecoders.com/jobs","","Python"
"1627421786-17","https://coders.bluecoders.com/jobs","","+1"
"1627421786-18","https://coders.bluecoders.com/jobs","","Devops"
"1627421786-50","https://coders.bluecoders.com/jobs","","Python"
"1627421786-13","https://coders.bluecoders.com/jobs","","Cloud"
"1627421786-27","https://coders.bluecoders.com/jobs","","Azure"
"1627421786-5","https://coders.bluecoders.com/jobs","Engineering Manager (H/F)",""
"1627421786-4","https://coders.bluecoders.com/jobs","Développeur ruby on rails",""
"1627421786-33","https://coders.bluecoders.com/jobs","","Ruby on Rails"
"1627421786-47","https://coders.bluecoders.com/jobs","","Rest"
"1627421786-45","https://coders.bluecoders.com/jobs","","Kubernetes"
"1627421786-54","https://coders.bluecoders.com/jobs","","Node.js"
"1627421786-15","https://coders.bluecoders.com/jobs","","Docker"
"1627421786-42","https://coders.bluecoders.com/jobs","","Devops"
"1627421786-21","https://coders.bluecoders.com/jobs","","Docker"
"1627421786-53","https://coders.bluecoders.com/jobs","","React.js"
"1627421786-10","https://coders.bluecoders.com/jobs","Senior Backend Engineer",""
"1627421786-60","https://coders.bluecoders.com/jobs","","Docker"
"1627421786-3","https://coders.bluecoders.com/jobs","Développeur Back end Ruby On Rails",""
"1627421786-38","https://coders.bluecoders.com/jobs","","Java"
"1627421786-20","https://coders.bluecoders.com/jobs","","AWS"
"1627421786-34","https://coders.bluecoders.com/jobs","","Ruby"
"1627421786-51","https://coders.bluecoders.com/jobs","","Django"
"1627421786-7","https://coders.bluecoders.com/jobs","Dev Python Django",""
"1627421786-48","https://coders.bluecoders.com/jobs","","Git"
"1627421786-52","https://coders.bluecoders.com/jobs","","React.js"
"1627421786-46","https://coders.bluecoders.com/jobs","","Django"
"1627421786-6","https://coders.bluecoders.com/jobs","Devops Engineer",""
"1627421786-14","https://coders.bluecoders.com/jobs","","Azure"
"1627421786-22","https://coders.bluecoders.com/jobs","","Kubernetes"
"1627421786-44","https://coders.bluecoders.com/jobs","","Docker"
"1627421786-30","https://coders.bluecoders.com/jobs","","PostgreSQL"
"1627421786-19","https://coders.bluecoders.com/jobs","","Cloud"
"1627421786-12","https://coders.bluecoders.com/jobs","","Devops"
"1627421786-32","https://coders.bluecoders.com/jobs","","CSS"
"1627421786-24","https://coders.bluecoders.com/jobs","","AWS"
"1627421786-59","https://coders.bluecoders.com/jobs","","Devops"
"1627421786-35","https://coders.bluecoders.com/jobs","","Javascript"
"1627421786-23","https://coders.bluecoders.com/jobs","","+1"
"1627421786-58","https://coders.bluecoders.com/jobs","","Django"
"1627421786-41","https://coders.bluecoders.com/jobs","","React.js"
"1627421786-56","https://coders.bluecoders.com/jobs","","Python"
"1627421786-49","https://coders.bluecoders.com/jobs","","SQL"
"1627421786-26","https://coders.bluecoders.com/jobs","",".NET"
"1627421786-37","https://coders.bluecoders.com/jobs","","+1"
